############### Game theory approach #################
max_gen : 5000
Instance : Denver
Epsilon : 0.1
Temps d'execution : 42980.1 ms
 ========Hypervolume====
 HV % :5.56647
 ========================
(IC best ; SC best) : 129684 ; 630
 Min Nash :   -0.105694 : se trouve à la position 220
 ============================
########################################################
Le nombre de solutions trouvées : 223. Ces solutions sont : 
 (IC ; SC) : 155659 ; 1964
 (IC ; SC) : 5.01037e+06 ; 659
 (IC ; SC) : 4.88301e+07 ; 657
 (IC ; SC) : 155659 ; 1964
 (IC ; SC) : 4.88301e+07 ; 657
 (IC ; SC) : 2.97949e+06 ; 660
 (IC ; SC) : 172745 ; 685
 (IC ; SC) : 4.17817e+06 ; 658
 (IC ; SC) : 155659 ; 1964
 (IC ; SC) : 4.88301e+07 ; 657
 (IC ; SC) : 2.97949e+06 ; 660
 (IC ; SC) : 172745 ; 685
 (IC ; SC) : 4.17817e+06 ; 658
 (IC ; SC) : 5.06364e+07 ; 651
 (IC ; SC) : 4.88301e+07 ; 657
 (IC ; SC) : 2.97949e+06 ; 660
 (IC ; SC) : 172745 ; 685
 (IC ; SC) : 4.17817e+06 ; 658
 (IC ; SC) : 5.06364e+07 ; 651
 (IC ; SC) : 181608 ; 668
 (IC ; SC) : 155376 ; 967
 (IC ; SC) : 2.97949e+06 ; 660
 (IC ; SC) : 172745 ; 685
 (IC ; SC) : 4.17817e+06 ; 658
 (IC ; SC) : 181608 ; 668
 (IC ; SC) : 155376 ; 967
 (IC ; SC) : 1.7987e+07 ; 649
 (IC ; SC) : 172745 ; 685
 (IC ; SC) : 155376 ; 967
 (IC ; SC) : 1.7987e+07 ; 649
 (IC ; SC) : 138930 ; 1214
 (IC ; SC) : 177781 ; 657
 (IC ; SC) : 135425 ; 1251
 (IC ; SC) : 177781 ; 657
 (IC ; SC) : 1.57798e+06 ; 644
 (IC ; SC) : 171941 ; 747
 (IC ; SC) : 1.78922e+06 ; 638
 (IC ; SC) : 153451 ; 904
 (IC ; SC) : 134024 ; 1232
 (IC ; SC) : 144349 ; 1102
 (IC ; SC) : 134715 ; 1190
 (IC ; SC) : 157711 ; 880
 (IC ; SC) : 140225 ; 1150
 (IC ; SC) : 161208 ; 809
 (IC ; SC) : 150383 ; 957
 (IC ; SC) : 133888 ; 1253
 (IC ; SC) : 131975 ; 1257
 (IC ; SC) : 133161 ; 1255
 (IC ; SC) : 165982 ; 755
 (IC ; SC) : 143485 ; 1128
 (IC ; SC) : 175243 ; 673
 (IC ; SC) : 172208 ; 685
 (IC ; SC) : 1.97906e+06 ; 636
 (IC ; SC) : 131903 ; 1261
 (IC ; SC) : 180054 ; 653
 (IC ; SC) : 175777 ; 663
 (IC ; SC) : 146674 ; 1099
 (IC ; SC) : 138348 ; 1177
 (IC ; SC) : 1.78922e+06 ; 638
 (IC ; SC) : 153451 ; 904
 (IC ; SC) : 134715 ; 1190
 (IC ; SC) : 157711 ; 880
 (IC ; SC) : 140225 ; 1150
 (IC ; SC) : 161208 ; 809
 (IC ; SC) : 150383 ; 957
 (IC ; SC) : 131975 ; 1257
 (IC ; SC) : 165982 ; 755
 (IC ; SC) : 175243 ; 673
 (IC ; SC) : 172208 ; 685
 (IC ; SC) : 1.97906e+06 ; 636
 (IC ; SC) : 131903 ; 1261
 (IC ; SC) : 175777 ; 663
 (IC ; SC) : 138348 ; 1177
 (IC ; SC) : 143005 ; 1086
 (IC ; SC) : 142680 ; 1088
 (IC ; SC) : 176249 ; 655
 (IC ; SC) : 132788 ; 1232
 (IC ; SC) : 174082 ; 679
 (IC ; SC) : 178018 ; 640
 (IC ; SC) : 169575 ; 747
 (IC ; SC) : 145548 ; 1024
 (IC ; SC) : 145486 ; 1069
 (IC ; SC) : 139257 ; 1154
 (IC ; SC) : 171418 ; 727
 (IC ; SC) : 175557 ; 672
 (IC ; SC) : 136177 ; 1180
 (IC ; SC) : 134006 ; 1226
 (IC ; SC) : 129912 ; 1622
 (IC ; SC) : 156140 ; 889
 (IC ; SC) : 170680 ; 737
 (IC ; SC) : 130770 ; 1297
 (IC ; SC) : 149093 ; 993
 (IC ; SC) : 1.78922e+06 ; 638
 (IC ; SC) : 153451 ; 904
 (IC ; SC) : 134715 ; 1190
 (IC ; SC) : 157711 ; 880
 (IC ; SC) : 140225 ; 1150
 (IC ; SC) : 161208 ; 809
